url,price,rooms,area_m2,floor,district,build_type,renovation,bathroom,heating,condition,techpassport
https://somon.tj/adv/15198862_2-komn-kvartira-7-etazh-60-m2-rudaki/,508000,2,60.0,7,повороти Ленинград,Новостройка,Новый ремонт,Раздельный,Нет,Построено,Нет
https://somon.tj/adv/15112600_2-komn-kvartira-7-etazh-48-m2-spartak/,340000,2,48.0,7,Спартак,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
https://somon.tj/adv/15197185_4-komn-kvartira-6-etazh-98-m2-slavianskii-parlumon/,2050000,4,98.0,6,"Славянский,Парлумон",Новостройка,Новый ремонт,Раздельный,Есть,Построено,Есть
https://somon.tj/adv/15171358_2-komn-kvartira-9-etazh-64-m2-rudaki/,849000,2,64.0,9,Рудаки,Новостройка,С ремонтом,Раздельный,Есть,Построено,Есть
https://somon.tj/adv/15150723_1-komn-kvartira-8-etazh-54-m2-vodanasos/,628000,1,54.0,8,танк. политехнический университет,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
https://somon.tj/adv/14638833_2-komn-kvartira-6-etazh-60-m2-n-sino/,770000,2,60.0,6,н.сино,Новостройка,Новый ремонт,Раздельный,Есть,Построено,Нет
https://somon.tj/adv/15296920_1-komn-kvartira-9-etazh-44-m2-1-mikroraion/,70000,1,44.0,9,1 микрорайон,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
https://somon.tj/adv/15284266_1-komn-kvartira-2-etazh-44-m2-pavaroti-lelingrad/,100000,1,44.0,2,ноҳияи Ленинград,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
https://somon.tj/adv/15282027_1-komn-kvartira-7-etazh-41-m2-8-mikroraion/,150000,1,41.0,7,8-микрорайон,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
https://somon.tj/adv/15271570_1-komn-kvartira-7-etazh-41-m2-8-mikroraion/,150000,1,41.0,7,8мкр,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
https://somon.tj/adv/14883490_1-komn-kvartira-8-etazh-49-m2-lelingrad/,100000,1,49.0,2,Лелинград,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
https://somon.tj/adv/14684652_1-komn-kvartira-tsokolnyi-etazh-40-m2-8/,110000,1,43.0,,8 мкр,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
https://somon.tj/adv/15284251_1-komn-kvartira-2-etazh-45-m2-pavaroti-lelingrad/,100000,1,45.0,2,поворот Ленинграда,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
https://somon.tj/adv/14798061_1-komn-kvartira-tsokolnyi-etazh-48-m2-13-mk/,125000,1,48.0,,13 мкр,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
https://somon.tj/adv/15301130_1-komn-kvartira-tsokolnyi-etazh-40-m2-8-mkr/,100000,1,40.0,,8 мкр,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
https://somon.tj/adv/14991111_3-komn-kvartira-9-etazh-79-m2-8mkr/,645000,3,74.0,9,8 мкр,Новостройка,Новый ремонт,Совмещенный,Нет,Построено,Нет
https://somon.tj/adv/14990703_3-komn-kvartira-9-etazh-79-m2-8mkr/,655000,3,77.0,9,8мкр,Новостройка,Новый ремонт,Совмещенный,Нет,Построено,Нет
https://somon.tj/adv/14747759_2-komn-kvartira-5-etazh-110-m2-safo-naprotiv-parka-istiklol/,1568000,2,110.0,5,"Сафо, напротив Парка Истиклол",Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
https://somon.tj/adv/14770533_3-komn-kvartira-8-etazh-80-m2-112-mkr/,533000,1,80.0,8,112 мкр,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
https://somon.tj/adv/15240421_2-komn-kvartira-16-etazh-62-m2-aini-5-goluboi-ekran/,935000,2,62.0,16,"Айни 5, голубой экран",Новостройка,С ремонтом,Совмещенный,Есть,Построено,Нет
https://somon.tj/adv/14840498_4-komn-kvartira-8-etazh-54-m2-naprotiv-politicheskogo-instituta/,636000,1,54.0,8,Напротив политехнического институ,Новостройка,Без ремонта (коробка),Раздельный,Есть,Построено,Нет
https://somon.tj/adv/15044623_3-komn-kvartira-8-etazh-95-m2-sboku-ot-otelia-rumi/,1590000,3,95.0,8,Сбоку от отеля Руми,Новостройка,Новый ремонт,Совмещенный,Есть,Построено,Есть
https://somon.tj/adv/14942945_3-komn-kvartira-19-etazh-136-m2-spartak-sboku-ot-rodom-1/,1485000,3,136.0,19,"Спартак, сбоку от Родом 1",Новостройка,Новый ремонт,Совмещенный,Есть,Построено,Нет
https://somon.tj/adv/15175984_3-komn-kvartira-4-etazh-135-m2-shokhmansur-zirbak/,2012000,3,135.0,4,"Шохмансур, Зирбак",Новостройка,Новый ремонт,Раздельный,Есть,Построено,Есть
https://somon.tj/adv/14437612_2-komn-kvartira-3-etazh-91-m2-slavianskii-institut/,1465000,2,91.0,3,Славянский институт,Новостройка,Новый ремонт,Совмещенный,Есть,Построено,Нет
https://somon.tj/adv/15250102_1-komn-kvartira-2-etazh-76-m2-sino/,439000,1,73.0,2,Сино,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
https://somon.tj/adv/15250133_2-komn-kvartira-2-etazh-98-m2-sino/,575000,2,95.0,2,Сино,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
https://somon.tj/adv/15115428_2-komn-kvartira-9-etazh-85-m2-s-niiozov/,340000,2,85.0,9,С .Ниёзов,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
https://somon.tj/adv/15067027_1-komn-kvartira-17-etazh-58-m2-102-mkr-zarnisor/,367000,1,58.0,17,102 мкр Зарнисор,Новостройка,Без ремонта (коробка),Совмещенный,Есть,На стадии строительства,Нет
https://somon.tj/adv/15301333_1-komn-kvartira-8-etazh-60-m2-sino/,730000,1,60.0,8,Сино,Новостройка,Новый ремонт,Раздельный,Есть,Построено,Нет
https://somon.tj/adv/15189028_2-komn-kvartira-4-etazh-96-m2-shokhmansur/,1360000,2,96.0,4,Шохмансур,Новостройка,Новый ремонт,Раздельный,Есть,Построено,Есть
https://somon.tj/adv/15021351_1-komn-kvartira-4-etazh-50-m2-ismoili-somoni/,328000,1,50.0,4,Исмоили Сомони,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
https://somon.tj/adv/15189722_2-komn-kvartira-7-etazh-115-m2-shokhmansur/,962550,2,115.0,7,Шохмансур,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
