price,rooms,area_m2,floor,district,build_type,renovation,bathroom,heating,condition,techpassport
180000,1,57,8,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
180000,1,57,8,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
180000,1,56,7,Сино,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
180000,1,47,7,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
180000,1,32,2,Другое,Вторичный рынок,С ремонтом,Раздельный,Нет,Построено,Есть
180000,2,64,10,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Есть
180000,1,39,2,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
180000,1,44,10,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
180000,2,52,1,Другое,Вторичный рынок,С ремонтом,Раздельный,Нет,Построено,Есть
180600,2,43,2,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
181000,1,51,9,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
182000,1,47,6,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
182000,1,49,8,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
183000,1,34,5,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Есть
184000,1,44,8,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Есть
185000,1,46,7,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
185000,2,65,8,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
185000,1,30,8,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,Построено,Нет
185000,1,45,6,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
